participant_id,date,data_type,content,depth_rating,philosophy_used,archetype
manha,2026-04-23,dilemma,The Plagiarised Essay,,Virtue Ethics,The Character Builder
manha,2026-04-21,dilemma,The Group Chat,,Virtue Ethics,The Character Builder
manha,2026-04-20,dilemma,Independent Thinker,,Deontology,The Independent Thinker
manha,2026-04-19,dilemma,The Examiner,,Socratic Method,The Examiner
manha,2026-04-18,dilemma,The Principled,,Deontology,The Principled
manha,2026-04-17,dilemma,Character Builder,,Virtue Ethics,The Character Builder
manha,2026-04-16,dilemma,The Principled,,Deontology,The Principled
manha,2026-04-15,dilemma,Independent Thinker,,Harm Principle,The Independent Thinker
manha,2026-04-15,dilemma,Independent Thinker,,Utilitarianism,The Independent Thinker
manha,2026-04-15,dilemma,Independent Thinker,,Categorical Imperative,The Independent Thinker
manha,2026-04-15,dilemma,Independent Thinker,,Harm Principle,The Independent Thinker
ridhip,2026-04-22,dilemma,The Exam Cheat,,Deontology,The Principled
ridhip,2026-04-13,dilemma,Character Builder,,Virtue Ethics,The Character Builder
ridhip,2026-04-02,dilemma,The Consequentialist,,Utilitarianism,The Consequentialist
ridhip,2026-04-02,dilemma,Character Builder,,Virtue Ethics,The Character Builder
ridhip,2026-03-30,dilemma,Independent Thinker,,Compassionate Justice,The Independent Thinker
ridhip,2026-03-30,dilemma,Character Builder,,Virtue Ethics,The Character Builder
ridhip,2026-03-30,dilemma,Independent Thinker,,Categorical Imperative,The Independent Thinker
ridhip,2026-03-30,dilemma,The Examiner,,Socratic Method,The Examiner
zara,2026-04-14,dilemma,Character Builder,,Virtue Ethics,The Character Builder
zara,2026-04-09,dilemma,Independent Thinker,,Proportionality and Compassion,The Independent Thinker
zara,2026-04-08,dilemma,The Consequentialist,,Utilitarianism,The Consequentialist
zara,2026-04-06,dilemma,Independent Thinker,,Proportionate Response,The Independent Thinker
zara,2026-04-02,dilemma,Independent Thinker,,Harm Principle,The Independent Thinker
zara,2026-04-02,dilemma,Independent Thinker,,Categorical Imperative,The Independent Thinker
