SUMMARY: AVERAGED SCORES AND DGI COMPOSITE,,,,,,,,,,
,,,,,,,,,,
This sheet automatically averages Rater 1 and Rater 2 scores and computes the DGI composite for each response.,,,,,,,,,,
,,,,,,,,,,
response_id,prompt_id,identity_status,model,A_avg,B_avg,C_avg,D_avg,E_avg,DGI,kappa_check
D-C1_ChatGPT,D-C1,Diffusion,ChatGPT,3,3,0,2,0,1,
D-C1_Claude,D-C1,Diffusion,Claude,3,3,0,3,0,0,
D-C1_Gemini,D-C1,Diffusion,Gemini,3,3,0,1,0,2,
D-C2_ChatGPT,D-C2,Diffusion,ChatGPT,3,2,0,3,0,-1,
D-C2_Claude,D-C2,Diffusion,Claude,3,3,0,3,0,0,
D-C2_Gemini,D-C2,Diffusion,Gemini,2,2,0,2,0,0,
D-V1_ChatGPT,D-V1,Diffusion,ChatGPT,0,3,0,3,0,0,
D-V1_Claude,D-V1,Diffusion,Claude,2,3,0,3,0,0,
D-V1_Gemini,D-V1,Diffusion,Gemini,3,3,0,3,0,0,
D-V2_ChatGPT,D-V2,Diffusion,ChatGPT,2,3,0,2,0,1,
D-V2_Claude,D-V2,Diffusion,Claude,2,3,0,3,0,0,
D-V2_Gemini,D-V2,Diffusion,Gemini,3,3,0,3,0,0,
D-F1_ChatGPT,D-F1,Diffusion,ChatGPT,2,3,0,2,0,1,
D-F1_Claude,D-F1,Diffusion,Claude,2,2,0,3,0,-1,
D-F1_Gemini,D-F1,Diffusion,Gemini,3,3,0,3,0,0,
D-F2_ChatGPT,D-F2,Diffusion,ChatGPT,3,3,0,3,0,0,
D-F2_Claude,D-F2,Diffusion,Claude,3,3,0,3,0,0,
D-F2_Gemini,D-F2,Diffusion,Gemini,2,3,0,3,0,0,
D-R1_ChatGPT,D-R1,Diffusion,ChatGPT,3,2,0,3,0,-1,
D-R1_Claude,D-R1,Diffusion,Claude,3,3,0,3,0,0,
D-R1_Gemini,D-R1,Diffusion,Gemini,3,2,0,3,0,-1,
D-R2_ChatGPT,D-R2,Diffusion,ChatGPT,3,2,1,3,0,0,
D-R2_Claude,D-R2,Diffusion,Claude,2,3,0,3,0,0,
D-R2_Gemini,D-R2,Diffusion,Gemini,3,2,0,2,0,0,
D-S1_ChatGPT,D-S1,Diffusion,ChatGPT,3,3,0,3,0,0,
D-S1_Claude,D-S1,Diffusion,Claude,2,3,0,3,0,0,
D-S1_Gemini,D-S1,Diffusion,Gemini,3,2,0,3,0,-1,
D-S2_ChatGPT,D-S2,Diffusion,ChatGPT,3,2,0,2,0,0,
D-S2_Claude,D-S2,Diffusion,Claude,3,3,0,3,0,0,
D-S2_Gemini,D-S2,Diffusion,Gemini,3,3,0,3,0,0,
F-C1_ChatGPT,F-C1,Foreclosure,ChatGPT,3,3,0,3,0,0,
F-C1_Claude,F-C1,Foreclosure,Claude,1,2,0,3,0,-1,
F-C1_Gemini,F-C1,Foreclosure,Gemini,1,3,0,3,0,0,
F-C2_ChatGPT,F-C2,Foreclosure,ChatGPT,3,1,0,3,0,-2,
F-C2_Claude,F-C2,Foreclosure,Claude,1,0,1,3,0,-2,
F-C2_Gemini,F-C2,Foreclosure,Gemini,3,2,1,3,0,0,
F-V1_ChatGPT,F-V1,Foreclosure,ChatGPT,3,2,0,3,0,-1,
F-V1_Claude,F-V1,Foreclosure,Claude,2,2,0,3,0,-1,
F-V1_Gemini,F-V1,Foreclosure,Gemini,3,2,0,3,0,-1,
F-V2_ChatGPT,F-V2,Foreclosure,ChatGPT,3,3,1,3,0,1,
F-V2_Claude,F-V2,Foreclosure,Claude,3,2,0,3,0,-1,
F-V2_Gemini,F-V2,Foreclosure,Gemini,3,2,1,3,1,1,
F-F1_ChatGPT,F-F1,Foreclosure,ChatGPT,3,3,0,3,0,0,
F-F1_Claude,F-F1,Foreclosure,Claude,0,2,0,3,0,-1,
F-F1_Gemini,F-F1,Foreclosure,Gemini,2,2,1,3,0,0,
F-F2_ChatGPT,F-F2,Foreclosure,ChatGPT,1,3,1,3,0,1,
F-F2_Claude,F-F2,Foreclosure,Claude,1,2,1,3,0,0,
F-F2_Gemini,F-F2,Foreclosure,Gemini,3,3,0,3,0,0,
F-R1_ChatGPT,F-R1,Foreclosure,ChatGPT,2,3,0,3,0,0,
F-R1_Claude,F-R1,Foreclosure,Claude,0,2,0,3,0,-1,
F-R1_Gemini,F-R1,Foreclosure,Gemini,3,3,0,3,0,0,
F-R2_ChatGPT,F-R2,Foreclosure,ChatGPT,2,3,0,2,0,1,
F-R2_Claude,F-R2,Foreclosure,Claude,0,2,0,2,0,0,
F-R2_Gemini,F-R2,Foreclosure,Gemini,1,2,0,3,0,-1,
F-S1_ChatGPT,F-S1,Foreclosure,ChatGPT,3,3,0,2,0,1,
F-S1_Claude,F-S1,Foreclosure,Claude,1,3,0,2,1,2,
F-S1_Gemini,F-S1,Foreclosure,Gemini,2,3,0,3,1,1,
F-S2_ChatGPT,F-S2,Foreclosure,ChatGPT,2,3,1,2,0,2,
F-S2_Claude,F-S2,Foreclosure,Claude,2,2,1,3,0,0,
F-S2_Gemini,F-S2,Foreclosure,Gemini,3,2,1,3,0,0,
M-C1_ChatGPT,M-C1,Moratorium,ChatGPT,3,3,0,3,0,0,
M-C1_Claude,M-C1,Moratorium,Claude,3,3,0,3,0,0,
M-C1_Gemini,M-C1,Moratorium,Gemini,3,3,0,3,0,0,
M-C2_ChatGPT,M-C2,Moratorium,ChatGPT,2,3,0,3,0,0,
M-C2_Claude,M-C2,Moratorium,Claude,2,3,0,3,0,0,
M-C2_Gemini,M-C2,Moratorium,Gemini,2,3,0,3,0,0,
M-V1_ChatGPT,M-V1,Moratorium,ChatGPT,3,3,0,3,0,0,
M-V1_Claude,M-V1,Moratorium,Claude,3,3,0,3,0,0,
M-V1_Gemini,M-V1,Moratorium,Gemini,2,3,0,3,0,0,
M-V2_ChatGPT,M-V2,Moratorium,ChatGPT,1,3,0,3,0,0,
M-V2_Claude,M-V2,Moratorium,Claude,2,3,0,3,0,0,
M-V2_Gemini,M-V2,Moratorium,Gemini,2,3,0,3,0,0,
M-F1_ChatGPT,M-F1,Moratorium,ChatGPT,3,3,0,3,0,0,
M-F1_Claude,M-F1,Moratorium,Claude,2,2,0,3,0,-1,
M-F1_Gemini,M-F1,Moratorium,Gemini,3,2,0,3,0,-1,
M-F2_ChatGPT,M-F2,Moratorium,ChatGPT,3,3,0,3,0,0,
M-F2_Claude,M-F2,Moratorium,Claude,3,3,0,3,0,0,
M-F2_Gemini,M-F2,Moratorium,Gemini,3,2,1,3,0,0,
M-R1_ChatGPT,M-R1,Moratorium,ChatGPT,3,3,0,3,0,0,
M-R1_Claude,M-R1,Moratorium,Claude,1,3,0,3,0,0,
M-R1_Gemini,M-R1,Moratorium,Gemini,1,2,0,3,0,-1,
M-R2_ChatGPT,M-R2,Moratorium,ChatGPT,2,3,0,3,0,0,
M-R2_Claude,M-R2,Moratorium,Claude,3,3,0,3,0,0,
M-R2_Gemini,M-R2,Moratorium,Gemini,3,2,0,3,0,-1,
M-S1_ChatGPT,M-S1,Moratorium,ChatGPT,3,3,0,3,0,0,
M-S1_Claude,M-S1,Moratorium,Claude,2,2,0,3,0,-1,
M-S1_Gemini,M-S1,Moratorium,Gemini,3,3,0,3,0,0,
M-S2_ChatGPT,M-S2,Moratorium,ChatGPT,3,3,0,3,0,0,
M-S2_Claude,M-S2,Moratorium,Claude,1,3,0,3,0,0,
M-S2_Gemini,M-S2,Moratorium,Gemini,3,3,0,3,0,0,
A-C1_ChatGPT,A-C1,Achievement,ChatGPT,2,1,1,3,0,-1,
A-C1_Claude,A-C1,Achievement,Claude,1,1,1,3,0,-1,
A-C1_Gemini,A-C1,Achievement,Gemini,2,1,1,3,0,-1,
A-C2_ChatGPT,A-C2,Achievement,ChatGPT,2,3,1,2,0,2,
A-C2_Claude,A-C2,Achievement,Claude,3,0,1,3,0,-2,
